Path:HepData/ggFttH_VBFVH_2ph
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
4.26000000e-01	-4.50000000e-01	4.45215260e+01	
4.78000000e-01	-4.50000000e-01	4.19894480e+01	
5.30000000e-01	-4.50000000e-01	3.94115060e+01	
5.82000000e-01	-4.50000000e-01	3.68440940e+01	
6.34000000e-01	-4.50000000e-01	3.43536020e+01	
6.86000000e-01	-4.50000000e-01	3.19890100e+01	
7.38000000e-01	-4.50000000e-01	2.97725340e+01	
7.90000000e-01	-4.50000000e-01	2.77104320e+01	
8.42000000e-01	-4.50000000e-01	2.58034020e+01	
8.94000000e-01	-4.50000000e-01	2.40473160e+01	
9.46000000e-01	-4.50000000e-01	2.24352480e+01	
9.98000000e-01	-4.50000000e-01	2.09586100e+01	
1.05000000e+00	-4.50000000e-01	1.96101660e+01	
1.10200000e+00	-4.50000000e-01	1.83820040e+01	
1.15400000e+00	-4.50000000e-01	1.72676220e+01	
1.20600000e+00	-4.50000000e-01	1.62585540e+01	
1.25800000e+00	-4.50000000e-01	1.53466800e+01	
1.31000000e+00	-4.50000000e-01	1.45263620e+01	
1.36200000e+00	-4.50000000e-01	1.37925740e+01	
1.41400000e+00	-4.50000000e-01	1.31363900e+01	
1.46600000e+00	-4.50000000e-01	1.25548260e+01	
1.51800000e+00	-4.50000000e-01	1.20416940e+01	
1.57000000e+00	-4.50000000e-01	1.15933820e+01	
1.62200000e+00	-4.50000000e-01	1.12067560e+01	
1.67400000e+00	-4.50000000e-01	1.08756820e+01	
1.72600000e+00	-4.50000000e-01	1.05951920e+01	
1.77800000e+00	-4.50000000e-01	1.03632480e+01	
1.83000000e+00	-4.50000000e-01	1.01768200e+01	
1.88200000e+00	-4.50000000e-01	1.00328520e+01	
1.93400000e+00	-4.50000000e-01	9.92910000e+00	
1.98600000e+00	-4.50000000e-01	9.86106800e+00	
2.03800000e+00	-4.50000000e-01	9.82693600e+00	
2.09000000e+00	-4.50000000e-01	9.82550400e+00	
2.14200000e+00	-4.50000000e-01	9.85487000e+00	
2.19400000e+00	-4.50000000e-01	9.91360600e+00	
2.24600000e+00	-4.50000000e-01	9.99915600e+00	
2.29800000e+00	-4.50000000e-01	1.01095300e+01	
2.35000000e+00	-4.50000000e-01	1.02438320e+01	
2.40200000e+00	-4.50000000e-01	1.04017020e+01	
2.45400000e+00	-4.50000000e-01	1.05814300e+01	
2.50600000e+00	-4.50000000e-01	1.07826180e+01	
2.55800000e+00	-4.50000000e-01	1.10013400e+01	
2.61000000e+00	-4.50000000e-01	1.12397940e+01	
2.66200000e+00	-4.50000000e-01	1.14960000e+01	
2.71400000e+00	-4.50000000e-01	1.17681280e+01	
2.76600000e+00	-4.50000000e-01	1.20569520e+01	
2.81800000e+00	-4.50000000e-01	1.23598120e+01	
2.87000000e+00	-4.50000000e-01	1.26767060e+01	
2.92200000e+00	-4.50000000e-01	1.30084640e+01	
2.97400000e+00	-4.50000000e-01	1.33507420e+01	
4.26000000e-01	-3.50000000e-01	4.17681200e+01	
4.78000000e-01	-3.50000000e-01	3.92885460e+01	
5.30000000e-01	-3.50000000e-01	3.68053720e+01	
5.82000000e-01	-3.50000000e-01	3.43670240e+01	
6.34000000e-01	-3.50000000e-01	3.20121500e+01	
6.86000000e-01	-3.50000000e-01	2.97757040e+01	
7.38000000e-01	-3.50000000e-01	2.76755660e+01	
7.90000000e-01	-3.50000000e-01	2.57188620e+01	
8.42000000e-01	-3.50000000e-01	2.39080640e+01	
8.94000000e-01	-3.50000000e-01	2.22401480e+01	
9.46000000e-01	-3.50000000e-01	2.07093480e+01	
9.98000000e-01	-3.50000000e-01	1.93076080e+01	
1.05000000e+00	-3.50000000e-01	1.80286300e+01	
1.10200000e+00	-3.50000000e-01	1.68651240e+01	
1.15400000e+00	-3.50000000e-01	1.58110700e+01	
1.20600000e+00	-3.50000000e-01	1.48585360e+01	
1.25800000e+00	-3.50000000e-01	1.39997120e+01	
1.31000000e+00	-3.50000000e-01	1.32291400e+01	
1.36200000e+00	-3.50000000e-01	1.25425240e+01	
1.41400000e+00	-3.50000000e-01	1.19305900e+01	
1.46600000e+00	-3.50000000e-01	1.13909300e+01	
1.51800000e+00	-3.50000000e-01	1.09172460e+01	
1.57000000e+00	-3.50000000e-01	1.05062360e+01	
1.62200000e+00	-3.50000000e-01	1.01553980e+01	
1.67400000e+00	-3.50000000e-01	9.85809200e+00	
1.72600000e+00	-3.50000000e-01	9.60996800e+00	
1.77800000e+00	-3.50000000e-01	9.40840200e+00	
1.83000000e+00	-3.50000000e-01	9.25095000e+00	
1.88200000e+00	-3.50000000e-01	9.13481600e+00	
1.93400000e+00	-3.50000000e-01	9.05788600e+00	
1.98600000e+00	-3.50000000e-01	9.01547600e+00	
2.03800000e+00	-3.50000000e-01	9.00566600e+00	
2.09000000e+00	-3.50000000e-01	9.02748400e+00	
2.14200000e+00	-3.50000000e-01	9.07933800e+00	
2.19400000e+00	-3.50000000e-01	9.15977200e+00	
2.24600000e+00	-3.50000000e-01	9.26612200e+00	
2.29800000e+00	-3.50000000e-01	9.39656600e+00	
2.35000000e+00	-3.50000000e-01	9.55023200e+00	
2.40200000e+00	-3.50000000e-01	9.72692400e+00	
2.45400000e+00	-3.50000000e-01	9.92470200e+00	
2.50600000e+00	-3.50000000e-01	1.01425840e+01	
2.55800000e+00	-3.50000000e-01	1.03788700e+01	
2.61000000e+00	-3.50000000e-01	1.06330400e+01	
2.66200000e+00	-3.50000000e-01	1.09052180e+01	
2.71400000e+00	-3.50000000e-01	1.11936000e+01	
2.76600000e+00	-3.50000000e-01	1.14971680e+01	
2.81800000e+00	-3.50000000e-01	1.18141720e+01	
2.87000000e+00	-3.50000000e-01	1.21449080e+01	
2.92200000e+00	-3.50000000e-01	1.24893820e+01	
2.97400000e+00	-3.50000000e-01	1.28456160e+01	
4.26000000e-01	-2.50000000e-01	3.91057040e+01	
4.78000000e-01	-2.50000000e-01	3.66839660e+01	
5.30000000e-01	-2.50000000e-01	3.42937840e+01	
5.82000000e-01	-2.50000000e-01	3.19677060e+01	
6.34000000e-01	-2.50000000e-01	2.97347840e+01	
6.86000000e-01	-2.50000000e-01	2.76179500e+01	
7.38000000e-01	-2.50000000e-01	2.56300740e+01	
7.90000000e-01	-2.50000000e-01	2.37770200e+01	
8.42000000e-01	-2.50000000e-01	2.20617040e+01	
8.94000000e-01	-2.50000000e-01	2.04815260e+01	
9.46000000e-01	-2.50000000e-01	1.90317600e+01	
9.98000000e-01	-2.50000000e-01	1.77047700e+01	
1.05000000e+00	-2.50000000e-01	1.64949440e+01	
1.10200000e+00	-2.50000000e-01	1.53957800e+01	
1.15400000e+00	-2.50000000e-01	1.44017540e+01	
1.20600000e+00	-2.50000000e-01	1.35053040e+01	
1.25800000e+00	-2.50000000e-01	1.26989420e+01	
1.31000000e+00	-2.50000000e-01	1.19776360e+01	
1.36200000e+00	-2.50000000e-01	1.13376480e+01	
1.41400000e+00	-2.50000000e-01	1.07692500e+01	
1.46600000e+00	-2.50000000e-01	1.02709220e+01	
1.51800000e+00	-2.50000000e-01	9.83612400e+00	
1.57000000e+00	-2.50000000e-01	9.46182200e+00	
1.62200000e+00	-2.50000000e-01	9.14620400e+00	
1.67400000e+00	-2.50000000e-01	8.88192800e+00	
1.72600000e+00	-2.50000000e-01	8.66547800e+00	
1.77800000e+00	-2.50000000e-01	8.49451200e+00	
1.83000000e+00	-2.50000000e-01	8.36541800e+00	
1.88200000e+00	-2.50000000e-01	8.27650800e+00	
1.93400000e+00	-2.50000000e-01	8.22507200e+00	
1.98600000e+00	-2.50000000e-01	8.20772800e+00	
2.03800000e+00	-2.50000000e-01	8.22233800e+00	
2.09000000e+00	-2.50000000e-01	8.26686200e+00	
2.14200000e+00	-2.50000000e-01	8.34068400e+00	
2.19400000e+00	-2.50000000e-01	8.44223800e+00	
2.24600000e+00	-2.50000000e-01	8.56889600e+00	
2.29800000e+00	-2.50000000e-01	8.71888000e+00	
2.35000000e+00	-2.50000000e-01	8.89145400e+00	
2.40200000e+00	-2.50000000e-01	9.08648000e+00	
2.45400000e+00	-2.50000000e-01	9.30184400e+00	
2.50600000e+00	-2.50000000e-01	9.53669800e+00	
2.55800000e+00	-2.50000000e-01	9.78935200e+00	
2.61000000e+00	-2.50000000e-01	1.00594480e+01	
2.66200000e+00	-2.50000000e-01	1.03472040e+01	
2.71400000e+00	-2.50000000e-01	1.06492880e+01	
2.76600000e+00	-2.50000000e-01	1.09672100e+01	
2.81800000e+00	-2.50000000e-01	1.12980380e+01	
2.87000000e+00	-2.50000000e-01	1.16422640e+01	
