Path:HepData/ggFttH_VBFVH_4l
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
1.32000000e-01	-1.48562500e+00	3.35528857e+01	
1.96000000e-01	-1.48562500e+00	3.35528857e+01	
2.60000000e-01	-1.48562500e+00	3.35528857e+01	
3.24000000e-01	-1.48562500e+00	3.35528857e+01	
3.88000000e-01	-1.48562500e+00	3.35528857e+01	
4.52000000e-01	-1.48562500e+00	3.35528857e+01	
5.16000000e-01	-1.48562500e+00	3.35528857e+01	
5.80000000e-01	-1.48562500e+00	3.35528857e+01	
6.44000000e-01	-1.48562500e+00	3.35528857e+01	
7.08000000e-01	-1.48562500e+00	3.35528857e+01	
7.72000000e-01	-1.48562500e+00	3.35528857e+01	
8.36000000e-01	-1.48562500e+00	3.35528857e+01	
9.00000000e-01	-1.48562500e+00	3.35528857e+01	
9.64000000e-01	-1.48562500e+00	3.35528857e+01	
1.02800000e+00	-1.48562500e+00	3.35528857e+01	
1.09200000e+00	-1.48562500e+00	3.35528857e+01	
1.15600000e+00	-1.48562500e+00	3.35528857e+01	
1.22000000e+00	-1.48562500e+00	3.35528857e+01	
1.28400000e+00	-1.48562500e+00	3.35528857e+01	
1.34800000e+00	-1.48562500e+00	3.35528857e+01	
1.41200000e+00	-1.48562500e+00	3.35528857e+01	
1.47600000e+00	-1.48562500e+00	3.35528857e+01	
1.54000000e+00	-1.48562500e+00	3.35528857e+01	
1.60400000e+00	-1.48562500e+00	3.35528857e+01	
1.66800000e+00	-1.48562500e+00	3.35528857e+01	
1.73200000e+00	-1.48562500e+00	3.35528857e+01	
1.79600000e+00	-1.48562500e+00	3.35528857e+01	
1.86000000e+00	-1.48562500e+00	3.35528857e+01	
1.92400000e+00	-1.48562500e+00	3.35528857e+01	
1.98800000e+00	-1.48562500e+00	3.35528857e+01	
2.05200000e+00	-1.48562500e+00	3.35528857e+01	
2.11600000e+00	-1.48562500e+00	3.35528857e+01	
2.18000000e+00	-1.48562500e+00	3.35528857e+01	
2.24400000e+00	-1.48562500e+00	3.35528857e+01	
2.30800000e+00	-1.48562500e+00	3.35528857e+01	
2.37200000e+00	-1.48562500e+00	3.35528857e+01	
2.43600000e+00	-1.48562500e+00	3.35528857e+01	
2.50000000e+00	-1.48562500e+00	3.35528857e+01	
2.56400000e+00	-1.48562500e+00	3.35528857e+01	
2.62800000e+00	-1.48562500e+00	3.35528857e+01	
2.69200000e+00	-1.48562500e+00	3.35528857e+01	
2.75600000e+00	-1.48562500e+00	3.35528857e+01	
2.82000000e+00	-1.48562500e+00	3.35528857e+01	
2.88400000e+00	-1.48562500e+00	3.35528857e+01	
2.94800000e+00	-1.48562500e+00	3.35528857e+01	
3.01200000e+00	-1.48562500e+00	3.35528857e+01	
3.07600000e+00	-1.48562500e+00	3.35528857e+01	
3.14000000e+00	-1.48562500e+00	3.35528857e+01	
3.20400000e+00	-1.48562500e+00	3.35528857e+01	
3.26800000e+00	-1.48562500e+00	3.35528857e+01	
1.32000000e-01	-1.45687500e+00	3.35528857e+01	
1.96000000e-01	-1.45687500e+00	3.35528857e+01	
2.60000000e-01	-1.45687500e+00	3.35528857e+01	
3.24000000e-01	-1.45687500e+00	3.35528857e+01	
3.88000000e-01	-1.45687500e+00	3.35528857e+01	
4.52000000e-01	-1.45687500e+00	3.35528857e+01	
5.16000000e-01	-1.45687500e+00	3.35528857e+01	
5.80000000e-01	-1.45687500e+00	3.35528857e+01	
6.44000000e-01	-1.45687500e+00	3.35528857e+01	
7.08000000e-01	-1.45687500e+00	3.35528857e+01	
7.72000000e-01	-1.45687500e+00	3.35528857e+01	
8.36000000e-01	-1.45687500e+00	3.35528857e+01	
9.00000000e-01	-1.45687500e+00	3.35528857e+01	
9.64000000e-01	-1.45687500e+00	3.35528857e+01	
1.02800000e+00	-1.45687500e+00	3.35528857e+01	
1.09200000e+00	-1.45687500e+00	3.35528857e+01	
1.15600000e+00	-1.45687500e+00	3.35528857e+01	
1.22000000e+00	-1.45687500e+00	3.35528857e+01	
1.28400000e+00	-1.45687500e+00	3.35528857e+01	
1.34800000e+00	-1.45687500e+00	3.35528857e+01	
1.41200000e+00	-1.45687500e+00	3.35528857e+01	
1.47600000e+00	-1.45687500e+00	3.35528857e+01	
1.54000000e+00	-1.45687500e+00	3.35528857e+01	
1.60400000e+00	-1.45687500e+00	3.35528857e+01	
1.66800000e+00	-1.45687500e+00	3.35528857e+01	
1.73200000e+00	-1.45687500e+00	3.35528857e+01	
1.79600000e+00	-1.45687500e+00	3.35528857e+01	
1.86000000e+00	-1.45687500e+00	3.35528857e+01	
1.92400000e+00	-1.45687500e+00	3.35528857e+01	
1.98800000e+00	-1.45687500e+00	3.35528857e+01	
2.05200000e+00	-1.45687500e+00	3.35528857e+01	
2.11600000e+00	-1.45687500e+00	3.35528857e+01	
2.18000000e+00	-1.45687500e+00	3.35528857e+01	
2.24400000e+00	-1.45687500e+00	3.35528857e+01	
2.30800000e+00	-1.45687500e+00	3.35528857e+01	
2.37200000e+00	-1.45687500e+00	3.35528857e+01	
2.43600000e+00	-1.45687500e+00	3.35528857e+01	
2.50000000e+00	-1.45687500e+00	3.35528857e+01	
