Path:HepData/ggFttH_VBFVH_lvlv
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
-1.75000000e-01	-7.44000000e-01	2.90085546e+01	
-1.25000000e-01	-7.44000000e-01	2.79164594e+01	
-7.50000000e-02	-7.44000000e-01	2.68648108e+01	
-2.50000000e-02	-7.44000000e-01	2.58441378e+01	
2.50000000e-02	-7.44000000e-01	2.48589666e+01	
7.50000000e-02	-7.44000000e-01	2.39117150e+01	
1.25000000e-01	-7.44000000e-01	2.30040008e+01	
1.75000000e-01	-7.44000000e-01	2.21393526e+01	
2.25000000e-01	-7.44000000e-01	2.13177658e+01	
2.75000000e-01	-7.44000000e-01	2.05413482e+01	
3.25000000e-01	-7.44000000e-01	1.98112058e+01	
3.75000000e-01	-7.44000000e-01	1.91243048e+01	
4.25000000e-01	-7.44000000e-01	1.84930378e+01	
4.75000000e-01	-7.44000000e-01	1.79042918e+01	
5.25000000e-01	-7.44000000e-01	1.73650162e+01	
5.75000000e-01	-7.44000000e-01	1.68730274e+01	
6.25000000e-01	-7.44000000e-01	1.64549850e+01	
6.75000000e-01	-7.44000000e-01	1.60285444e+01	
7.25000000e-01	-7.44000000e-01	1.56736850e+01	
7.75000000e-01	-7.44000000e-01	1.53637986e+01	
8.25000000e-01	-7.44000000e-01	1.50918360e+01	
8.75000000e-01	-7.44000000e-01	1.48602602e+01	
9.25000000e-01	-7.44000000e-01	1.46742464e+01	
9.75000000e-01	-7.44000000e-01	1.45193848e+01	
1.02500000e+00	-7.44000000e-01	1.43965314e+01	
1.07500000e+00	-7.44000000e-01	1.43105706e+01	
1.12500000e+00	-7.44000000e-01	1.42755946e+01	
1.17500000e+00	-7.44000000e-01	1.42318622e+01	
1.22500000e+00	-7.44000000e-01	1.42370778e+01	
1.27500000e+00	-7.44000000e-01	1.42677318e+01	
1.32500000e+00	-7.44000000e-01	1.43499758e+01	
1.37500000e+00	-7.44000000e-01	1.44208618e+01	
1.42500000e+00	-7.44000000e-01	1.45313386e+01	
